GEO,POB,SEX,LMS,ROY,COC,AGE,TIME,PROVIDER,VALUE,FLAGS,FOOTNOTES
DE,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,67234125,,,
DE1,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,8394470,,,
DE11,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,3064878,,,
DE111,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,423669,,,
DE112,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,282091,,,
DE113,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,401309,,,
DE114,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,194899,,,
DE115,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,400439,,,
DE116,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,327930,,,
DE117,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,79093,,,
DE118,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,260343,,,
DE119,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,84220,,,
DE11A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,150581,,,
DE11B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,108705,,,
DE11C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,100481,,,
DE11D,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,251118,,,
DE12,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,2123616,,,
DE121,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,40940,,,
DE122,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,217737,,,
DE123,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,353392,,,
DE124,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,179437,,,
DE125,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,109166,,,
DE126,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,214442,,,
DE127,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,117561,,,
DE128,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,435234,,,
DE129,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,76245,,,
DE12A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,122964,,,
DE12B,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,160438,,,
DE12C,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,96060,,,
DE13,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1752543,,,
DE131,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,164012,,,
DE132,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,212081,,,
DE133,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,136288,,,
DE134,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,340875,,,
DE135,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,114846,,,
DE136,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,160728,,,
DE137,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,101626,,,
DE138,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,216045,,,
DE139,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,174782,,,
DE13A,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,131260,,,
DE14,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,1453433,,,
DE141,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,218296,,,
DE142,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,176865,,,
DE143,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,151178,,,
DE144,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,87700,,,
DE145,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,157794,,,
DE146,NAT,T,TOTAL,TOTAL,TOTAL,TOTAL,2011,Germany,158519,,,
